Date : 2021-06-20 15:43:10
Directory : d:\2021--自己用框架写的案例\my-Angular
Total : 192 files,  20786 codes, 598 comments, 953 blanks, all 22337 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| src\app\store\selector                                                                                         |          2 |         29 |          5 |          9 |         43 |
| src\assets                                                                                                     |          3 |         66 |          3 |         29 |         98 |
| src\assets\fonts                                                                                               |          1 |         26 |          3 |         19 |         48 |
| src\assets\styles                                                                                              |          1 |         36 |          0 |         10 |         46 |
| src\environments                                                                                               |          2 |          6 |         11 |          4 |         21 |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                       | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\2021--自己用框架写的案例\my-Angular\README.md                                                                        | Markdown   |         43 |          0 |         25 |         68 |
| d:\2021--自己用框架写的案例\my-Angular\angular.json                                                                     | JSON       |        111 |         30 |          0 |        141 |
| d:\2021--自己用框架写的案例\my-Angular\e2e\protractor.conf.js                                                           | JavaScript |         24 |          6 |          2 |         32 |
| d:\2021--自己用框架写的案例\my-Angular\e2e\src\app.e2e-spec.ts                                                          | TypeScript |         18 |          1 |          5 |         24 |
| d:\2021--自己用框架写的案例\my-Angular\e2e\src\app.po.ts                                                                | TypeScript |          9 |          0 |          3 |         12 |
| d:\2021--自己用框架写的案例\my-Angular\e2e\tsconfig.json                                                                | JSON       |         13 |          0 |          1 |         14 |
| d:\2021--自己用框架写的案例\my-Angular\hello.js                                                                         | JavaScript |         17 |          6 |          1 |         24 |
| d:\2021--自己用框架写的案例\my-Angular\hello.ts                                                                         | TypeScript |         14 |          6 |          4 |         24 |
| d:\2021--自己用框架写的案例\my-Angular\karma.conf.js                                                                    | JavaScript |         29 |          2 |          2 |         33 |
| d:\2021--自己用框架写的案例\my-Angular\package-lock.json                                                                | JSON       |     16,055 |          0 |          1 |     16,056 |
| d:\2021--自己用框架写的案例\my-Angular\package.json                                                                     | JSON       |         66 |          0 |          1 |         67 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\app-routing.module.ts                                                    | TypeScript |         93 |          2 |          2 |         97 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\app.component.html                                                       | HTML       |         36 |          5 |          1 |         42 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\app.component.less                                                       | Less       |         55 |          0 |          3 |         58 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\app.component.spec.ts                                                    | TypeScript |         31 |          0 |          5 |         36 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\app.component.ts                                                         | TypeScript |         26 |          0 |          6 |         32 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\app.module.ts                                                            | TypeScript |         67 |          3 |          7 |         77 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\httpConfig\config.service.ts                                             | TypeScript |         43 |          7 |         11 |         61 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\httpConfig\http.handleError.service.ts                                   | TypeScript |         21 |         13 |         12 |         46 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\httpConfig\message.service.ts                                            | TypeScript |         11 |          0 |          4 |         15 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\in-memory-data.service.ts                                                | TypeScript |         26 |         11 |          4 |         41 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\angular-attribute.component.html                       | HTML       |         19 |          0 |          2 |         21 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\angular-attribute.component.less                       | Less       |          3 |          0 |          3 |          6 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\angular-attribute.component.ts                         | TypeScript |         54 |          3 |          9 |         66 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\angular-attribute.module.ts                            | TypeScript |         44 |          1 |          2 |         47 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\element-ref\element-ref.component.html                 | HTML       |          6 |          0 |          0 |          6 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\element-ref\element-ref.component.less                 | Less       |          0 |          0 |          1 |          1 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\element-ref\element-ref.component.ts                   | TypeScript |         30 |          6 |          9 |         45 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\function\function.component.html                       | HTML       |         14 |          0 |          5 |         19 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\function\function.component.less                       | Less       |          0 |          0 |          1 |          1 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\function\function.component.ts                         | TypeScript |         46 |          5 |         12 |         63 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\inner-html\inner-html.component.html                   | HTML       |          7 |          0 |          1 |          8 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\inner-html\inner-html.component.less                   | Less       |          0 |          0 |          1 |          1 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\inner-html\inner-html.component.ts                     | TypeScript |         42 |          2 |          9 |         53 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\ng-component-outlet\a.component\a.html                 | HTML       |         14 |          2 |          3 |         19 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\ng-component-outlet\a.component\a.ts                   | TypeScript |         15 |          0 |          4 |         19 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\ng-component-outlet\b.component\b.html                 | HTML       |         29 |          0 |          4 |         33 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\ng-component-outlet\b.component\b.ts                   | TypeScript |         19 |          1 |          6 |         26 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\ng-component-outlet\index.ts                           | TypeScript |         11 |          1 |          2 |         14 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\ng-component-outlet\inner-template.html                | HTML       |         33 |          0 |          1 |         34 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\ng-component-outlet\ng-component-outlet.component.html | HTML       |         10 |          0 |          3 |         13 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\ng-component-outlet\ng-component-outlet.component.less | Less       |          0 |          0 |          1 |          1 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\ng-component-outlet\ng-component-outlet.component.ts   | TypeScript |         43 |          0 |         11 |         54 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\ng-if\ng-if.component.html                             | HTML       |         22 |          2 |          4 |         28 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\ng-if\ng-if.component.less                             | Less       |          0 |          0 |          1 |          1 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\ng-if\ng-if.component.ts                               | TypeScript |         25 |          0 |          8 |         33 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\ng-plural\ng-plural.component.html                     | HTML       |         93 |          8 |          6 |        107 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\ng-plural\ng-plural.component.less                     | Less       |          6 |          0 |          1 |          7 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\ng-plural\ng-plural.component.ts                       | TypeScript |         36 |          0 |         10 |         46 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\refresh-view\refresh-view.component.html               | HTML       |         17 |          0 |          2 |         19 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\refresh-view\refresh-view.component.less               | Less       |          0 |          0 |          1 |          1 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\refresh-view\refresh-view.component.ts                 | TypeScript |         32 |         20 |         11 |         63 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\router\brother-router\brother-router.component.html    | HTML       |          1 |          0 |          1 |          2 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\router\brother-router\brother-router.component.less    | Less       |          0 |          0 |          1 |          1 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\router\brother-router\brother-router.component.ts      | TypeScript |         11 |          0 |          5 |         16 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\router\child-router\child-router.component.html        | HTML       |          6 |          1 |          5 |         12 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\router\child-router\child-router.component.less        | Less       |          0 |          0 |          1 |          1 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\router\child-router\child-router.component.ts          | TypeScript |         27 |          5 |         11 |         43 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\router\router.component.html                           | HTML       |          9 |          3 |          3 |         15 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\router\router.component.less                           | Less       |          0 |          0 |          1 |          1 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\router\router.component.ts                             | TypeScript |         18 |          7 |         10 |         35 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-works\angular-works.component.html                         | HTML       |         10 |          0 |          3 |         13 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-works\angular-works.component.less                         | Less       |          3 |          0 |          1 |          4 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-works\angular-works.component.ts                           | TypeScript |         23 |          0 |          8 |         31 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-works\angular-works.module.ts                              | TypeScript |         24 |          0 |          3 |         27 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-works\custom-model\custom-model.component.html             | HTML       |         20 |          0 |          2 |         22 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-works\custom-model\custom-model.component.less             | Less       |          0 |          0 |          1 |          1 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-works\custom-model\custom-model.component.ts               | TypeScript |         29 |          0 |         10 |         39 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-works\drag-drop\drag-drop.component.html                   | HTML       |         46 |          0 |         10 |         56 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-works\drag-drop\drag-drop.component.less                   | Less       |         20 |          0 |          7 |         27 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-works\drag-drop\drag-drop.component.ts                     | TypeScript |         36 |          0 |          9 |         45 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\basic\basic-routing.module.ts                                      | TypeScript |         11 |          0 |          1 |         12 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\basic\basic.component.html                                         | HTML       |         91 |         17 |         13 |        121 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\basic\basic.component.less                                         | Less       |         11 |          0 |          1 |         12 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\basic\basic.component.ts                                           | TypeScript |         90 |         20 |         24 |        134 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\basic\basic.module.ts                                              | TypeScript |         34 |          0 |          2 |         36 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\basic\service\data.service.ts                                      | TypeScript |         46 |         20 |         17 |         83 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\basic\service\data.type.ts                                         | TypeScript |          8 |          0 |          2 |         10 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\basic\service\message.service.ts                                   | TypeScript |         13 |          0 |          5 |         18 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\basic\service\mock.data.ts                                         | TypeScript |          8 |          0 |          1 |          9 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\basic\svg\svg.component.svg                                        | XML        |          6 |          0 |          0 |          6 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\basic\svg\svg.component.ts                                         | TypeScript |         15 |          0 |          2 |         17 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\basic\test\test.component.html                                     | HTML       |          7 |          0 |          0 |          7 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\basic\test\test.component.less                                     | Less       |          0 |          0 |          1 |          1 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\basic\test\test.component.ts                                       | TypeScript |         32 |          2 |         10 |         44 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\bootstrap\bootstrap-routing.module.ts                              | TypeScript |         11 |          0 |          1 |         12 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\bootstrap\bootstrap-tesst.component.html                           | HTML       |         38 |          0 |          3 |         41 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\bootstrap\bootstrap-tesst.component.less                           | Less       |         13 |          0 |          0 |         13 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\bootstrap\bootstrap-tesst.component.ts                             | TypeScript |         70 |         26 |         23 |        119 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\bootstrap\bootstrap.module.ts                                      | TypeScript |         23 |          1 |          2 |         26 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\bootstrap\child\child.component.html                               | HTML       |         10 |          0 |          1 |         11 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\bootstrap\child\child.component.less                               | Less       |          0 |          0 |          1 |          1 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\bootstrap\child\child.component.ts                                 | TypeScript |         18 |          0 |          7 |         25 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\bootstrap\datatype.ts                                              | TypeScript |         10 |          0 |          0 |         10 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\counter\counter-routing.module.ts                                  | TypeScript |         11 |          0 |          1 |         12 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\counter\counter.component.html                                     | HTML       |         36 |          1 |          7 |         44 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\counter\counter.component.less                                     | Less       |         23 |          0 |          2 |         25 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\counter\counter.component.ts                                       | TypeScript |         65 |         18 |         21 |        104 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\counter\counter.module.ts                                          | TypeScript |         16 |          0 |          4 |         20 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\es6\es6-routing.module.ts                                          | TypeScript |         11 |          0 |          2 |         13 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\es6\es6.component.html                                             | HTML       |          1 |          0 |          1 |          2 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\es6\es6.component.less                                             | Less       |          0 |          0 |          1 |          1 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\es6\es6.component.ts                                               | TypeScript |         31 |          1 |          7 |         39 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\es6\es6.module.ts                                                  | TypeScript |         14 |          0 |          4 |         18 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\home\home-routing.module.ts                                        | TypeScript |         11 |          0 |          1 |         12 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\home\home.component.html                                           | HTML       |         10 |          0 |          1 |         11 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\home\home.component.less                                           | Less       |          3 |          0 |          0 |          3 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\home\home.component.ts                                             | TypeScript |         14 |          0 |          6 |         20 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\home\home.module.ts                                                | TypeScript |         14 |          0 |          2 |         16 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\rxjs\rxjs-routing.module.ts                                        | TypeScript |         16 |          0 |          2 |         18 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\rxjs\rxjs.component.html                                           | HTML       |         38 |          2 |          1 |         41 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\rxjs\rxjs.component.less                                           | Less       |          6 |          0 |          4 |         10 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\rxjs\rxjs.component.ts                                             | TypeScript |         66 |          5 |         13 |         84 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\rxjs\rxjs.interface.ts                                             | TypeScript |         25 |          0 |          3 |         28 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\rxjs\rxjs.module.ts                                                | TypeScript |         21 |          0 |          2 |         23 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\rxjs\rxjs.service.ts                                               | TypeScript |         31 |          2 |          7 |         40 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\rxjs\subjectdiff\subjectdiff.component.html                        | HTML       |          6 |          0 |          1 |          7 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\rxjs\subjectdiff\subjectdiff.component.less                        | Less       |          0 |          0 |          1 |          1 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\rxjs\subjectdiff\subjectdiff.component.ts                          | TypeScript |         42 |          4 |         14 |         60 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\typescript\typescript-routing.module.ts                            | TypeScript |         11 |          0 |          2 |         13 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\typescript\typescript.component.html                               | HTML       |         10 |          0 |          5 |         15 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\typescript\typescript.component.less                               | Less       |          0 |          0 |          1 |          1 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\typescript\typescript.component.ts                                 | TypeScript |         65 |         32 |         28 |        125 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\typescript\typescript.interface.ts                                 | TypeScript |         21 |          5 |          9 |         35 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\typescript\typescript.module.ts                                    | TypeScript |         14 |          0 |          4 |         18 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\workdemo\workdemo-routing.module.ts                                | TypeScript |         11 |          0 |          1 |         12 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\workdemo\workdemo.component.html                                   | HTML       |         18 |          3 |          3 |         24 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\workdemo\workdemo.component.less                                   | Less       |         14 |          0 |          0 |         14 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\workdemo\workdemo.component.ts                                     | TypeScript |         30 |          1 |         10 |         41 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\pages\workdemo\workdemo.module.ts                                        | TypeScript |         17 |          0 |          4 |         21 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\request-cache.service.ts                                                 | TypeScript |         43 |          1 |         15 |         59 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\shared\components\code-toggle\code-toggle.component.html                 | HTML       |          9 |          0 |          1 |         10 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\shared\components\code-toggle\code-toggle.component.less                 | Less       |         12 |          0 |          0 |         12 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\shared\components\code-toggle\code-toggle.component.ts                   | TypeScript |         19 |          2 |          9 |         30 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\shared\components\filter\filter.component.html                           | HTML       |         17 |          0 |          0 |         17 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\shared\components\filter\filter.component.less                           | Less       |         18 |          0 |          0 |         18 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\shared\components\filter\filter.component.ts                             | TypeScript |         57 |          2 |         10 |         69 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\shared\components\select\select.component.html                           | HTML       |          6 |          0 |          1 |          7 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\shared\components\select\select.component.less                           | Less       |          3 |          0 |          0 |          3 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\shared\components\select\select.component.ts                             | TypeScript |         18 |          0 |          5 |         23 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\shared\components\test\test.component.html                               | HTML       |          7 |          0 |          0 |          7 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\shared\components\test\test.component.less                               | Less       |          4 |          0 |          0 |          4 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\shared\components\test\test.component.spec.ts                            | TypeScript |         20 |          0 |          6 |         26 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\shared\components\test\test.component.ts                                 | TypeScript |         11 |          0 |          5 |         16 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\shared\components\zorro\button\button.component.html                     | HTML       |         11 |          0 |          0 |         11 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\shared\components\zorro\button\button.component.less                     | Less       |         12 |          0 |          3 |         15 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\shared\components\zorro\button\button.component.ts                       | TypeScript |         64 |         13 |         15 |         92 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\shared\components\zorro\carousle\zorro.component.html                    | HTML       |          4 |          1 |          0 |          5 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\shared\components\zorro\carousle\zorro.component.less                    | Less       |         10 |          0 |          3 |         13 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\shared\components\zorro\carousle\zorro.component.ts                      | TypeScript |         28 |          0 |          6 |         34 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\shared\core\directives\clickoutside.directive.ts                         | TypeScript |         16 |          1 |          3 |         20 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\shared\core\directives\img-default.directive.ts                          | TypeScript |         10 |          0 |          2 |         12 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\shared\core\eventEmit\eventEmit.service.ts                               | TypeScript |         14 |          0 |          1 |         15 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\shared\core\pipes\date-pipe.pipe.spec.ts                                 | TypeScript |          7 |          0 |          2 |          9 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\shared\core\pipes\date-pipe.pipe.ts                                      | TypeScript |         13 |          0 |          4 |         17 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\shared\core\pipes\filter-search.pipe.ts                                  | TypeScript |         12 |          0 |          2 |         14 |
| d:\2021--自己用框架写的案例\my-Angular\src\app\shared\core\pipes\html-piple.ts                                          | TypeScript |         12 |          0 |          1 |         13 |
